,Name,Description,Ingredients,Instructions,Season
332,Jalebi,"Crispy deep-fried spirals soaked in saffron sugar syrup, a popular street dessert.","1 cup all-purpose flour, 1 tbsp yogurt, 1/4 tsp baking soda, 1/2 cup water, 1 cup sugar, 1/2 cup water, 1/4 tsp saffron, 1/2 tsp cardamom powder, 1 tbsp ghee","1. Mix flour, yogurt, baking soda, and water into a batter. 2. Let it ferment for 6 hours. 3. Heat sugar, water, saffron, and cardamom to make syrup. 4. Pipe batter into hot oil in spiral shapes. 5. Deep-fry until golden and crisp. 6. Soak in warm sugar syrup for a few seconds. 7. Serve warm.",Rainy
333,Malpua,"A rich Indian pancake dessert, deep-fried and soaked in sugar syrup.","1 cup flour, 1/4 cup milk, 1/2 cup sugar, 1/2 tsp fennel seeds, 1/2 tsp cardamom powder, 1/2 cup water, 2 tbsp ghee","1. Mix flour, milk, fennel seeds, and cardamom into a batter. 2. Let the batter rest for 30 minutes. 3. Heat ghee and pour small ladles of batter. 4. Fry until golden brown. 5. Heat sugar and water to make syrup. 6. Soak fried malpuas in syrup. 7. Serve warm.",Winter
334,Phirni,"A creamy rice pudding made with ground rice, milk, and saffron.","1/4 cup rice, 2 cups milk, 1/2 cup sugar, 1/4 tsp saffron, 1/2 tsp cardamom powder, 1 tbsp chopped nuts, 1/2 tsp rose water","1. Soak rice for 30 minutes, then grind coarsely. 2. Boil milk and add ground rice. 3. Stir continuously until thick. 4. Add sugar, saffron, and cardamom powder. 5. Cook for another 5 minutes. 6. Pour into serving bowls and refrigerate. 7. Garnish with nuts and rose water before serving.",Summer
335,Shrikhand,"A creamy and refreshing dessert made with strained yogurt, flavored with saffron and cardamom.","2 cups yogurt, 1/2 cup sugar, 1/4 tsp saffron, 1/2 tsp cardamom powder, 1 tbsp chopped pistachios, 1/2 tsp rose water","1. Strain yogurt overnight to remove excess water. 2. Whisk yogurt until smooth. 3. Add sugar, saffron, and cardamom powder. 4. Mix well and refrigerate for 2 hours. 5. Garnish with pistachios and rose water. 6. Serve chilled.",Summer
336,Mysore Pak,"A rich and dense Indian sweet made with gram flour, ghee, and sugar.","1 cup gram flour, 1 cup sugar, 1/2 cup water, 1 cup ghee, 1/2 tsp cardamom powder","1. Roast gram flour in a pan until fragrant. 2. Heat sugar and water to make a syrup. 3. Gradually add roasted flour while stirring. 4. Pour in hot ghee slowly, stirring continuously. 5. Cook until mixture thickens. 6. Pour into a greased tray and let set. 7. Cut into squares and serve.",Winter
337,Modak,"A traditional steamed dumpling filled with coconut and jaggery, offered to Lord Ganesha.","1 cup rice flour, 1/2 cup water, 1/4 tsp salt, 1/2 cup grated coconut, 1/4 cup jaggery, 1/2 tsp cardamom powder, 1 tsp ghee","1. Boil water with salt, then add rice flour. 2. Mix and knead into a smooth dough. 3. Cook coconut and jaggery until combined. 4. Add cardamom powder and mix well. 5. Shape dough into small cups, fill with stuffing. 6. Seal and steam for 10 minutes. 7. Serve warm.",Rainy
338,Rava Kesari,"A soft and flavorful semolina pudding made with ghee, saffron, and nuts.","1 cup semolina, 1/2 cup sugar, 2 cups water, 1/4 cup ghee, 1/4 tsp saffron, 1/2 tsp cardamom powder, 1 tbsp chopped nuts","1. Roast semolina in ghee until golden. 2. Boil water and gradually add semolina. 3. Stir continuously to avoid lumps. 4. Add sugar, saffron, and cardamom powder. 5. Mix well and cook until thick. 6. Garnish with nuts before serving.",Winter
339,Peda,"A soft, milky sweet made from condensed milk and flavored with cardamom and saffron.","2 cups condensed milk, 1/2 cup milk powder, 1/4 tsp cardamom powder, 1/4 tsp saffron, 1 tbsp ghee, 1 tbsp chopped pistachios","1. Heat ghee in a pan and add condensed milk. 2. Stir in milk powder and cook on low heat. 3. Add cardamom and saffron, mixing well. 4. Cook until the mixture thickens and leaves the pan. 5. Let cool slightly and shape into small discs. 6. Garnish with pistachios. 7. Allow to set before serving.",Winter
340,Kalakand,"A delicious Indian milk cake made from paneer and condensed milk, flavored with cardamom.","2 cups crumbled paneer, 1 cup condensed milk, 1/2 tsp cardamom powder, 1 tbsp chopped almonds, 1 tbsp ghee",1. Heat ghee in a pan and add paneer. 2. Stir in condensed milk and mix well. 3. Cook on low heat until thickened. 4. Add cardamom powder and mix. 5. Pour into a greased tray and spread evenly. 6. Garnish with almonds. 7. Let cool and cut into squares before serving.,Winter
341,Chhena Poda,"A baked Indian cheesecake made from paneer, sugar, and cardamom.","2 cups paneer, 1/2 cup sugar, 1/4 tsp cardamom powder, 1 tbsp semolina, 1 tbsp ghee, 1 tbsp chopped nuts","1. Mash paneer and mix with sugar. 2. Add semolina, cardamom, and mix well. 3. Grease a baking dish with ghee. 4. Pour the mixture into the dish. 5. Sprinkle nuts on top. 6. Bake at 180°C for 30 minutes. 7. Let cool and serve.",Rainy
342,Moong Dal Halwa,"A rich and aromatic dessert made from moong dal, ghee, and sugar.","1 cup moong dal, 1/2 cup ghee, 1/2 cup sugar, 2 cups milk, 1/2 tsp cardamom powder, 1 tbsp chopped nuts",1. Soak moong dal for 4 hours and grind coarsely. 2. Heat ghee in a pan and fry the dal until golden. 3. Add milk and cook while stirring. 4. Stir in sugar and continue cooking. 5. Add cardamom powder and mix well. 6. Garnish with chopped nuts. 7. Serve warm.,Winter
343,Basundi,"A creamy and sweet milk-based dessert, slow-cooked with nuts and saffron.","2 liters milk, 1/2 cup sugar, 1/4 tsp saffron, 1/2 tsp cardamom powder, 1 tbsp chopped nuts","1. Boil milk and reduce it to half its volume. 2. Stir continuously to prevent burning. 3. Add sugar, saffron, and cardamom powder. 4. Cook until thick and creamy. 5. Garnish with chopped nuts. 6. Let cool and refrigerate. 7. Serve chilled.",Summer
344,Kheer,"A traditional Indian rice pudding made with milk, sugar, and cardamom.","1/4 cup rice, 4 cups milk, 1/2 cup sugar, 1/2 tsp cardamom powder, 1 tbsp chopped almonds, 1/4 tsp saffron","1. Wash and soak rice for 30 minutes. 2. Boil milk and add the soaked rice. 3. Cook on low heat until rice is soft. 4. Add sugar, saffron, and cardamom powder. 5. Stir and cook until thickened. 6. Garnish with almonds. 7. Serve warm or chilled.",Winter
345,Coconut Barfi,"A soft and chewy Indian sweet made from coconut, sugar, and milk.","2 cups grated coconut, 1 cup sugar, 1/2 cup milk, 1/2 tsp cardamom powder, 1 tbsp ghee",1. Heat ghee in a pan and add coconut. 2. Stir in milk and cook for 5 minutes. 3. Add sugar and mix well. 4. Cook until the mixture thickens. 5. Add cardamom powder and mix. 6. Pour into a greased tray and spread evenly. 7. Let cool and cut into squares before serving.,Rainy
346,Seviyan Kheer,"A rich and creamy vermicelli pudding made with milk, sugar, and nuts.","1/2 cup vermicelli, 2 cups milk, 1/4 cup sugar, 1/2 tsp cardamom powder, 1 tbsp chopped nuts, 1 tbsp ghee",1. Heat ghee in a pan and roast vermicelli until golden. 2. Boil milk and add roasted vermicelli. 3. Stir and cook until soft. 4. Add sugar and cardamom powder. 5. Cook until thick and creamy. 6. Garnish with chopped nuts. 7. Serve warm or chilled.,Winter
347,Ladoo,"Round, sweet balls made with gram flour, sugar, and ghee, often prepared for festivals.","2 cups gram flour, 1/2 cup ghee, 1 cup sugar, 1/2 tsp cardamom powder, 1 tbsp chopped nuts",1. Heat ghee in a pan and roast gram flour. 2. Cook until aromatic and golden. 3. Add sugar and cardamom powder. 4. Mix well and remove from heat. 5. Shape the mixture into small balls. 6. Garnish with chopped nuts. 7. Let cool before serving.,Winter
348,Tilgul,A traditional sesame and jaggery sweet made during Makar Sankranti.,"1 cup sesame seeds, 1/2 cup jaggery, 1/4 tsp cardamom powder, 1 tbsp ghee",1. Dry roast sesame seeds until fragrant. 2. Melt jaggery with ghee in a pan. 3. Add cardamom powder and mix. 4. Stir in roasted sesame seeds. 5. Mix well and let cool slightly. 6. Shape into small balls. 7. Let set before serving.,Winter
349,Rasmalai,Soft paneer discs soaked in sweetened saffron-flavored milk.,"2 cups paneer, 1/2 cup sugar, 4 cups milk, 1/4 tsp saffron, 1/2 tsp cardamom powder, 1 tbsp chopped pistachios","1. Knead paneer and shape into small discs. 2. Boil water and sugar to make syrup. 3. Simmer paneer discs in syrup for 10 minutes. 4. Boil milk and reduce it by half. 5. Add saffron, cardamom, and chopped pistachios. 6. Soak paneer discs in the milk mixture. 7. Chill before serving.",Summer
350,Sandesh,"A Bengali delicacy made from fresh paneer and sugar, often flavored with cardamom or saffron.","2 cups paneer, 1/2 cup powdered sugar, 1/4 tsp cardamom powder, 1 tbsp chopped nuts",1. Knead paneer until smooth. 2. Add powdered sugar and cardamom powder. 3. Cook on low heat for 5 minutes. 4. Shape into small discs or squares. 5. Garnish with chopped nuts. 6. Let cool and set. 7. Serve chilled.,Summer
351,Shahi Tukda,"A royal Mughlai dessert made with fried bread, sweetened milk, and nuts.","4 bread slices, 2 cups milk, 1/2 cup sugar, 1/4 tsp cardamom powder, 1/4 tsp saffron, 2 tbsp ghee, 1 tbsp chopped almonds","1. Cut bread slices into triangles. 2. Heat ghee and fry bread until golden brown. 3. Boil milk and reduce to half. 4. Add sugar, saffron, and cardamom powder. 5. Soak fried bread in sweetened milk. 6. Garnish with almonds. 7. Serve warm or chilled.",Winter
352,Kesari Bath,A fragrant and delicious semolina dessert cooked with saffron and nuts.,"1 cup semolina, 2 cups milk, 1/2 cup sugar, 1/4 tsp saffron, 1/2 tsp cardamom powder, 1 tbsp ghee, 1 tbsp chopped nuts",1. Heat ghee in a pan and roast semolina. 2. Boil milk and add saffron. 3. Pour the hot milk into the semolina. 4. Stir continuously to prevent lumps. 5. Add sugar and cardamom powder. 6. Cook until thickened. 7. Garnish with chopped nuts and serve warm.,Rainy
353,Balushahi,"A crispy, flaky Indian sweet similar to a glazed doughnut, made with flour and sugar syrup.","2 cups all-purpose flour, 1/2 cup ghee, 1/4 tsp baking soda, 1/2 cup yogurt, 1 cup sugar, 1/2 tsp cardamom powder","1. Mix flour, baking soda, and ghee. 2. Add yogurt and knead a soft dough. 3. Rest the dough for 30 minutes. 4. Shape into small discs and deep-fry until golden. 5. Prepare sugar syrup with cardamom powder. 6. Dip fried balushahi into warm syrup. 7. Let set before serving.",Winter
354,Imarti,"A bright orange, crispy, and juicy dessert made from urad dal batter, deep-fried, and soaked in sugar syrup.","1 cup urad dal, 1 cup sugar, 1/4 tsp saffron, 1/2 tsp cardamom powder, 1 tbsp ghee, 1/2 cup water",1. Soak urad dal for 4 hours and grind to a smooth batter. 2. Fill a piping bag with the batter. 3. Heat ghee and pipe batter into circular patterns. 4. Fry until golden brown. 5. Prepare sugar syrup with saffron and cardamom. 6. Soak the fried imarti in warm syrup. 7. Serve warm.,Rainy
355,Patbingsu,"A popular Korean shaved ice dessert topped with sweet red beans, fruits, and condensed milk.","2 cups shaved ice, 1/2 cup sweet red beans, 1/4 cup condensed milk, 1/4 cup diced strawberries, 1/4 cup diced kiwi, 1/4 cup mochi, 1 tbsp sliced almonds",1. Prepare shaved ice and place it in a bowl. 2. Drizzle condensed milk over the ice. 3. Add sweet red beans on top. 4. Arrange diced fruits and mochi around the ice. 5. Sprinkle with sliced almonds. 6. Serve immediately before it melts.,Summer
356,Hotteok,"A sweet Korean pancake filled with brown sugar, cinnamon, and nuts.","2 cups all-purpose flour, 1/2 cup warm milk, 1/2 tsp yeast, 1 tbsp sugar, 1/4 cup brown sugar, 1/2 tsp cinnamon, 2 tbsp chopped nuts, 1 tbsp vegetable oil","1. Mix flour, yeast, sugar, and milk to form a dough. 2. Let it rise for an hour. 3. Mix brown sugar, cinnamon, and chopped nuts for the filling. 4. Divide dough into balls and fill each with the mixture. 5. Flatten and pan-fry until golden brown on both sides. 6. Serve warm.",Winter
357,Yakgwa,"A traditional Korean honey cookie made with wheat flour, sesame oil, and ginger.","2 cups all-purpose flour, 1/4 cup sesame oil, 1/4 cup honey, 1/4 cup rice syrup, 1/2 tsp ginger juice, 1/2 cup sugar, 1 tbsp sesame seeds","1. Mix flour with sesame oil until crumbly. 2. Add honey, rice syrup, and ginger juice to form a dough. 3. Roll out and cut into flower shapes. 4. Deep-fry until golden brown. 5. Soak in honey syrup for a few hours. 6. Sprinkle with sesame seeds before serving.",Winter
358,Bungeoppang,"A fish-shaped pastry filled with sweet red bean paste, often enjoyed as a street snack.","1 cup all-purpose flour, 1/2 cup milk, 1/4 tsp baking powder, 1/4 cup sugar, 1/2 cup sweet red bean paste, 1 tbsp vegetable oil","1. Mix flour, baking powder, sugar, and milk into a smooth batter. 2. Heat a bungeoppang mold and grease it lightly. 3. Pour a thin layer of batter into the mold. 4. Add red bean paste in the center. 5. Cover with more batter and close the mold. 6. Cook until golden brown on both sides. 7. Serve warm.",Winter
359,Injeolmi,A chewy Korean rice cake coated with roasted soybean flour.,"2 cups glutinous rice flour, 1/2 cup water, 1/2 tsp salt, 1/2 cup roasted soybean flour, 1 tbsp sugar","1. Mix glutinous rice flour, salt, and water to form a dough. 2. Steam the dough for 20 minutes. 3. Pound the steamed rice until smooth and elastic. 4. Shape into small pieces. 5. Coat with roasted soybean flour and sugar mixture. 6. Serve at room temperature.",Rainy
360,Dasik,A delicate Korean tea cookie made with powdered grains and honey.,"1 cup roasted soybean powder, 1/2 cup honey, 1/4 cup black sesame powder, 1/4 cup matcha powder",1. Mix each powder with honey separately. 2. Knead into a dough-like consistency. 3. Press into wooden or silicone dasik molds. 4. Remove gently and let set. 5. Serve with traditional Korean tea.,Winter
361,Hodugwaja,A walnut-shaped pastry filled with sweet red bean paste and walnut pieces.,"1 cup all-purpose flour, 1/2 tsp baking powder, 1/4 cup sugar, 1/2 cup milk, 1/2 cup sweet red bean paste, 1/4 cup chopped walnuts","1. Mix flour, baking powder, sugar, and milk into a batter. 2. Preheat a walnut-shaped mold and grease it. 3. Pour a layer of batter into the mold. 4. Add red bean paste and walnuts in the center. 5. Cover with more batter and close the mold. 6. Cook until golden brown on both sides. 7. Serve warm.",Winter
362,Baesuk,A Korean poached pear dessert infused with ginger and cinnamon.,"2 Korean pears, 4 cups water, 1/2 cup sugar, 1-inch ginger, 1 cinnamon stick, 1 tbsp pine nuts","1. Peel and core the pears. 2. In a pot, add water, sugar, ginger, and cinnamon. 3. Bring to a boil and simmer. 4. Add pears and cook until tender. 5. Remove pears and reduce syrup slightly. 6. Pour syrup over the pears. 7. Garnish with pine nuts before serving.",Winter
363,Gyeongdan,Chewy rice balls coated with sweet toppings like red bean paste or sesame powder.,"1 cup glutinous rice flour, 1/2 cup water, 1/4 cup sweet red bean paste, 1/4 cup black sesame powder, 1/4 cup roasted soybean powder","1. Mix rice flour and water to form a dough. 2. Roll into small balls. 3. Boil in water until they float. 4. Drain and let cool. 5. Coat with red bean paste, sesame powder, or soybean powder. 6. Serve at room temperature.",Rainy
364,Songpyeon,"A half-moon-shaped rice cake stuffed with sweet fillings like sesame, chestnut, or red bean paste.","2 cups glutinous rice flour, 1/2 cup water, 1/4 cup sesame seeds, 1/4 cup chestnut paste, 1/4 cup sweet red bean paste, 1 tbsp honey","1. Mix rice flour and water to form a dough. 2. Divide the dough and color it with natural ingredients if desired. 3. Shape into small circles and fill with sesame, chestnut, or red bean paste. 4. Fold into a half-moon shape and seal edges. 5. Steam for 20 minutes. 6. Brush with sesame oil before serving.",Rainy
365,Gwapyeon,"A traditional Korean fruit jelly made from persimmons, honey, and agar.","2 cups persimmon puree, 1/4 cup honey, 1 tsp agar powder, 1 cup water, 1 tbsp pine nuts","1. Dissolve agar powder in water over low heat. 2. Add persimmon puree and honey, stirring continuously. 3. Simmer until the mixture thickens. 4. Pour into a mold and let set. 5. Garnish with pine nuts before serving.",Summer
366,Gotgamssam,A Korean dessert made by wrapping dried persimmons around walnuts.,"4 dried persimmons, 1/4 cup chopped walnuts, 1 tbsp honey",1. Gently flatten dried persimmons. 2. Place a spoonful of walnuts in the center. 3. Drizzle with honey. 4. Fold persimmons over the walnuts. 5. Serve sliced.,Winter
367,Sujeonggwa,"A traditional Korean cinnamon and ginger punch, often served cold.","4 cups water, 2-inch ginger, 2 cinnamon sticks, 1/2 cup sugar, 1/4 cup dried persimmons, 1 tbsp pine nuts","1. Boil water with ginger and cinnamon for 30 minutes. 2. Strain and add sugar, stirring until dissolved. 3. Cool and refrigerate. 4. Add dried persimmons before serving. 5. Garnish with pine nuts.",Summer
368,Jocheong Gangjeong,A crispy Korean nut and seed snack coated with rice syrup.,"1 cup peanuts, 1/2 cup sesame seeds, 1/2 cup sunflower seeds, 1/4 cup rice syrup, 1 tbsp honey",1. Dry roast peanuts and seeds separately. 2. Heat rice syrup and honey in a pan. 3. Mix in the roasted nuts and seeds. 4. Spread onto a greased tray and press flat. 5. Let cool and cut into squares.,Winter
369,Bam Tteok,"A Korean rice cake made with chestnuts, glutinous rice flour, and honey.","1 cup glutinous rice flour, 1/2 cup chestnut puree, 1/4 cup honey, 1/4 tsp salt, 1 tbsp sesame seeds","1. Mix rice flour, chestnut puree, honey, and salt. 2. Knead into a smooth dough. 3. Shape into small cakes. 4. Steam for 20 minutes. 5. Garnish with sesame seeds before serving.",Winter
370,Maejakgwa,A crispy Korean fried cookie twisted into a decorative shape.,"2 cups all-purpose flour, 1/4 cup sesame oil, 1/4 cup honey, 1/2 tsp ginger juice, 1/2 cup sugar, 1/2 cup water","1. Mix flour, sesame oil, and ginger juice. 2. Knead into a smooth dough and roll out. 3. Cut into strips and twist into decorative shapes. 4. Deep-fry until golden brown. 5. Coat with honey syrup and let set.",Winter
371,Hwachae,"A Korean fruit punch made with watermelon, honey, and sweet rice cakes.","2 cups watermelon balls, 1/4 cup honey, 1 cup chilled water, 1/2 cup sweet rice cakes, 1 tbsp pine nuts",1. Scoop watermelon into small balls. 2. Mix honey and chilled water. 3. Add watermelon and sweet rice cakes. 4. Let chill before serving. 5. Garnish with pine nuts.,Summer
372,Dalgona Candy,A popular Korean street snack made by caramelizing sugar and baking soda.,"1/4 cup sugar, 1/8 tsp baking soda",1. Melt sugar in a ladle over low heat. 2. Add baking soda and stir quickly. 3. Pour onto a flat surface. 4. Press with a mold to shape. 5. Let cool before eating.,Winter
373,Heotjesabap,A Korean dessert variation of bibimbap with assorted sweet toppings.,"1 cup cooked sweet rice, 1/4 cup sweet red bean paste, 1/4 cup diced fruits, 1 tbsp honey, 1 tbsp sliced almonds",1. Place cooked sweet rice in a bowl. 2. Add red bean paste on top. 3. Arrange diced fruits around the rice. 4. Drizzle with honey. 5. Sprinkle with almonds before serving.,Rainy
374,Baekseolgi,A steamed Korean rice cake with a soft and slightly sweet texture.,"2 cups rice flour, 1/2 cup sugar, 1/2 tsp salt, 1/2 cup water, 1 tbsp pine nuts","1. Mix rice flour, sugar, and salt. 2. Gradually add water to form a crumbly dough. 3. Press into a steamer lined with cloth. 4. Steam for 25 minutes. 5. Garnish with pine nuts before serving.",Rainy
375,Dorayaki,A popular Japanese confection consisting of two fluffy pancakes filled with sweet red bean paste.,"1 cup all-purpose flour, 1/2 tsp baking powder, 2 eggs, 1/4 cup sugar, 1 tbsp honey, 1/4 cup milk, 1/2 cup sweet red bean paste, 1 tbsp vegetable oil","1. Whisk eggs, sugar, and honey until fluffy. 2. Mix in flour and baking powder. 3. Gradually add milk until smooth. 4. Heat a pan and cook small pancakes until golden brown. 5. Spread red bean paste between two pancakes. 6. Press together and serve.",Rainy
376,Mochi,"A chewy Japanese rice cake made from glutinous rice, often filled with sweet red bean paste.","2 cups glutinous rice flour, 1/2 cup sugar, 1 cup water, 1/2 cup cornstarch, 1/2 cup sweet red bean paste","1. Mix rice flour, sugar, and water until smooth. 2. Steam for 20 minutes until translucent. 3. Dust a surface with cornstarch and roll out the dough. 4. Cut into small portions and fill with red bean paste. 5. Shape into balls and coat lightly with cornstarch. 6. Serve fresh.",Winter
377,Taiyaki,A fish-shaped Japanese pastry filled with sweet red bean paste or custard.,"1 cup all-purpose flour, 1/2 tsp baking powder, 1/2 cup milk, 1/4 cup sugar, 1 egg, 1/2 cup sweet red bean paste, 1 tbsp vegetable oil","1. Mix flour, baking powder, sugar, and milk into a batter. 2. Heat a taiyaki mold and grease it. 3. Pour a thin layer of batter into the mold. 4. Add red bean paste in the center. 5. Cover with more batter and close the mold. 6. Cook until golden brown. 7. Serve warm.",Winter
378,Matcha Warabi Mochi,"A jelly-like dessert made from bracken starch, dusted with matcha powder and sugar.","1/2 cup warabi starch, 1/2 cup sugar, 2 cups water, 1 tbsp matcha powder, 1/4 cup kinako (roasted soybean flour)","1. Mix warabi starch, sugar, and water in a pan. 2. Cook over medium heat, stirring until thick. 3. Pour into a mold and let set. 4. Cut into bite-sized pieces. 5. Coat with matcha powder and kinako. 6. Serve chilled.",Summer
379,Daifuku,A soft mochi stuffed with sweet fillings like red bean paste or strawberries.,"1 cup glutinous rice flour, 1/2 cup water, 1/4 cup sugar, 1/2 cup sweet red bean paste, 4 strawberries, 1/4 cup cornstarch","1. Mix glutinous rice flour, water, and sugar. 2. Steam the mixture until translucent. 3. Flatten and wrap around red bean paste or strawberries. 4. Dust with cornstarch to prevent sticking. 5. Serve fresh.",Winter
380,Anmitsu,"A Japanese dessert with agar jelly, red bean paste, fruits, and syrup.","1/2 cup agar-agar powder, 2 cups water, 1/2 cup sweet red bean paste, 1/2 cup diced fruits, 1/4 cup kuromitsu (brown sugar syrup)",1. Dissolve agar-agar in water and boil. 2. Pour into a mold and let set. 3. Cut jelly into cubes. 4. Arrange in a bowl with fruits and red bean paste. 5. Drizzle with kuromitsu before serving.,Summer
381,Yokan,"A firm, sweet jelly made from red bean paste, agar, and sugar.","1 cup sweet red bean paste, 1/2 cup sugar, 1/2 cup water, 1 tbsp agar-agar powder",1. Dissolve agar-agar in water over low heat. 2. Stir in red bean paste and sugar. 3. Simmer until smooth. 4. Pour into a mold and let set. 5. Slice and serve.,Winter
382,Kasutera,A fluffy Japanese sponge cake made with honey and eggs.,"1 cup all-purpose flour, 4 eggs, 1/2 cup sugar, 1/4 cup honey, 1/4 cup milk",1. Beat eggs and sugar until fluffy. 2. Mix in honey and milk. 3. Fold in sifted flour gently. 4. Pour into a lined baking pan. 5. Bake at 160°C for 40 minutes. 6. Cool before slicing.,Rainy
383,Sakura Mochi,A pink-colored mochi wrapped in a pickled cherry blossom leaf.,"1 cup glutinous rice flour, 1/2 cup water, 1/4 cup sugar, 1/2 cup sweet red bean paste, 4 pickled sakura leaves","1. Mix glutinous rice flour, water, and sugar. 2. Steam the mixture until soft. 3. Wrap around red bean paste. 4. Cover with pickled sakura leaves. 5. Serve fresh.",Summer
384,Higashi,"A dry Japanese confection made from sugar and rice flour, shaped into intricate designs.","1 cup rice flour, 1/2 cup sugar, 1 tbsp water, 1 tsp matcha powder","1. Mix rice flour, sugar, and a few drops of water. 2. Knead into a dry, crumbly dough. 3. Press into wooden molds. 4. Let dry completely. 5. Serve with green tea.",Winter
385,Uiro,"A steamed Japanese rice cake with a chewy texture, made from rice flour and sugar.","1 cup rice flour, 1/2 cup sugar, 1 cup water, 1 tsp matcha powder (optional)","1. Mix rice flour, sugar, and water until smooth. 2. Pour into a greased mold. 3. Steam for 30 minutes. 4. Let cool and slice. 5. Serve with green tea.",Winter
386,Kuzumochi,"A light and jelly-like dessert made from kudzu starch, often served with brown sugar syrup.","1/2 cup kudzu starch, 2 cups water, 1/4 cup sugar, 1/4 cup kuromitsu (brown sugar syrup), 1 tbsp kinako (roasted soybean flour)","1. Mix kudzu starch, water, and sugar in a pan. 2. Heat over low flame, stirring until thickened. 3. Pour into a mold and let set. 4. Cut into cubes and serve with syrup. 5. Sprinkle with kinako before serving.",Summer
387,Yatsuhashi,"A Kyoto specialty, a crispy or soft cinnamon-flavored rice flour sweet.","1 cup rice flour, 1/2 cup sugar, 1/2 cup water, 1 tsp cinnamon powder","1. Mix rice flour, sugar, and water. 2. Cook over low heat until dough forms. 3. Roll out thinly and cut into rectangles. 4. For soft yatsuhashi, wrap with sweet red bean paste. 5. For crispy yatsuhashi, bake until golden brown.",Winter
388,Shiratama Dango,Chewy Japanese rice dumplings made from glutinous rice flour and served with syrup or sweet pastes.,"1 cup glutinous rice flour, 1/2 cup water, 1/4 cup sweet red bean paste, 1/4 cup kuromitsu (brown sugar syrup)",1. Mix glutinous rice flour and water to form dough. 2. Roll into small balls. 3. Boil until dumplings float. 4. Remove and cool in ice water. 5. Serve with red bean paste and syrup.,Summer
389,Mizu Yokan,"A softer, more water-based version of the traditional yokan jelly, served chilled.","1 cup sweet red bean paste, 1/2 cup sugar, 2 cups water, 1 tbsp agar-agar powder",1. Dissolve agar-agar in water and bring to a boil. 2. Stir in sugar and red bean paste. 3. Pour into a mold and let set. 4. Refrigerate for a few hours. 5. Slice and serve chilled.,Summer
390,Kuri Manju,"A baked Japanese sweet filled with chestnut paste, often enjoyed in autumn.","1 cup all-purpose flour, 1/4 cup sugar, 1 egg, 1/4 cup butter, 1/2 cup chestnut paste","1. Mix flour, sugar, and butter into a dough. 2. Shape small balls and stuff with chestnut paste. 3. Brush with egg wash. 4. Bake at 180°C for 15 minutes. 5. Cool and serve.",Winter
391,Sata Andagi,Okinawan deep-fried doughnuts with a crispy outside and fluffy inside.,"1 cup all-purpose flour, 1/4 cup sugar, 1 egg, 1/4 tsp baking soda, 1 tbsp milk, 1/2 tsp vanilla extract, vegetable oil for frying","1. Mix flour, sugar, baking soda, and egg. 2. Add milk and vanilla extract to form dough. 3. Shape into small balls. 4. Deep-fry until golden brown. 5. Drain excess oil and serve.",Winter
392,Karinto,A crunchy deep-fried Japanese snack coated in brown sugar syrup.,"1 cup all-purpose flour, 1/4 cup sugar, 1/4 tsp baking soda, 1 tbsp milk, 1 tbsp butter, 1/4 cup brown sugar, 1/4 cup water, vegetable oil for frying","1. Mix flour, sugar, baking soda, milk, and butter into dough. 2. Roll into thin sticks. 3. Deep-fry until crispy. 4. Boil brown sugar and water into a syrup. 5. Coat fried sticks with syrup and let set.",Winter
393,Tarte Tatin,"An upside-down caramelized apple tart, traditionally made in a skillet.","4 apples, 1/2 cup sugar, 1/4 cup butter, 1 sheet puff pastry","1. Preheat oven to 180°C. 2. Caramelize sugar and butter in an oven-safe pan. 3. Add apple slices and cook until tender. 4. Cover with puff pastry and bake for 25 minutes. 5. Let cool slightly, then invert onto a plate. 6. Serve warm.",Winter
394,Macarons,Delicate French almond meringue cookies sandwiched with flavored fillings.,"1 cup almond flour, 1 cup powdered sugar, 2 egg whites, 1/4 cup sugar, food coloring, 1/2 cup buttercream or ganache",1. Sift almond flour and powdered sugar. 2. Whip egg whites with sugar until stiff. 3. Fold in almond mixture and color. 4. Pipe onto a baking sheet. 5. Let sit for 30 minutes. 6. Bake at 150°C for 12 minutes. 7. Fill with buttercream and sandwich.,Rainy
395,Mille-Feuille,A layered puff pastry dessert filled with pastry cream and topped with icing.,"3 sheets puff pastry, 2 cups pastry cream, 1/2 cup powdered sugar, 1/4 cup chocolate icing",1. Bake puff pastry sheets at 180°C until golden. 2. Layer with pastry cream. 3. Top with a final pastry sheet. 4. Coat with powdered sugar icing. 5. Drizzle chocolate icing in lines and create a feathered pattern. 6. Chill and serve.,Winter
396,Clafoutis,"A baked French dessert with fruit, usually cherries, in a custard-like batter.","2 cups cherries, 3 eggs, 1/2 cup sugar, 1 cup milk, 1/2 cup flour, 1 tsp vanilla extract","1. Preheat oven to 180°C. 2. Grease a baking dish and add cherries. 3. Whisk eggs, sugar, and flour. 4. Mix in milk and vanilla. 5. Pour over cherries. 6. Bake for 40 minutes until set. 7. Serve warm.",Summer
